,Bronowice,Skotniki
0,14,25
1,16,26
2,15,16
3,15,17
4,26,26
5,22,29
6,21,25
7,18,22
8,21,30
9,6,29
10,9,23
11,24,25
12,27,18
13,14,19
14,0,10
15,14,0
16,7,16
17,13,0
18,26,26
19,18,16
20,18,19
21,0,0
22,15,22
23,19,0
24,24,11
25,19,0
26,27,20
27,24,0
28,21,26
29,6,18
30,24,18
31,15,0
32,0,26
33,21,0
34,13,13
35,14,19
36,20,0
37,22,21
38,13,26
39,21,22
40,0,0
41,10,24
42,19,30
43,26,0
44,25,26
45,0,25
46,7,0
47,16,0
48,12,12
49,7,23
50,21,14
51,12,25
52,21,9
53,18,0
54,14,18
55,25,23
56,26,17
57,17,25
58,11,13
59,15,18
60,8,29
61,10,0
62,26,20
63,13,0
64,17,14
65,14,27
66,18,16
67,17,20
68,11,0
69,17,0
70,18,9
71,15,14
72,16,9
73,17,22
74,15,12
75,16,24
76,21,28
77,20,22
78,13,25
79,23,24
80,12,22
81,24,21
82,24,17
83,18,19
84,16,19
85,11,27
86,26,29
87,19,20
88,9,17
89,15,16
90,23,23
91,17,0
92,26,0
93,20,22
94,12,17
95,16,14
96,16,0
97,17,27
98,15,26
99,26,0
